C.D.S.  -  SIMBAD4 rel 1.8  -  2025.04.02CEST05:40:14

plx >8.49&plx< 8.51&Vmag< 20&Bmag< 20&maintypes='*'
---------------------------------------------------

Number of objects : 507

 # ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type     
---;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;--------------------
162;TYC 239-1698-1                     ;*  ;09 46 28.3066253880 +04 17 18.050312364;     ~   ;11.01    ;10.26    ;     ~   ;10.147056;~                   
163;HD 84985                           ;*  ;09 48 37.8187024200 -16 05 37.296335976;     ~   ;10.175   ;9.57     ;     ~   ;9.417070 ;F7/8V               
164;CD-23 8717                         ;PM*;09 46 45.6324056352 -23 56 03.848661744;     ~   ;10.86    ;10.22    ;     ~   ;10.041245;~                   
165;HD 87485                           ;PM*;10 06 15.1150040424 +40 55 30.288456228;     ~   ;9.11     ;8.38     ;     ~   ;8.234843 ;G5                  
166;HD 87956                           ;** ;10 09 04.77832 +25 31 03.2365          ;     ~   ;9.77     ;9.28     ;9.18     ;8.9791   ;K0                  
167;TYC 3004-834-1                     ;PM*;10 25 43.1106573096 +40 13 17.598863172;     ~   ;10.99    ;10.32    ;     ~   ;10.166552;G6V                 
168;CD-32 7254                         ;PM*;10 20 36.3054866760 -32 59 02.704440192;     ~   ;10.69    ;10.09    ;     ~   ;9.971552 ;~                   
169;TYC 7188-1643-1                    ;*  ;10 21 30.0826770672 -33 31 52.380840396;     ~   ;11.87    ;11.21    ;     ~   ;10.969296;~                   
170;HD 92266                           ;*  ;10 39 50.5754545776 +37 50 20.663854584;     ~   ;8.59     ;7.59     ;     ~   ;7.344289 ;K0                  
171;HD 91368                           ;Em*;10 32 53.7241171752 -02 47 04.995480300;     ~   ;10.70    ;10.10    ;     ~   ;9.828628 ;G3/5V               
172;BD+32 2099                         ;Em*;11 03 18.6468896112 +31 17 15.831435444;     ~   ;10.44    ;9.92     ;     ~   ;9.755884 ;G0                  
173;TYC 6643-872-1                     ;PM*;10 58 48.7421228256 -26 23 49.046046684;     ~   ;11.487   ;10.787   ;10.22    ;10.636560;~                   
174;TYC 1439-2257-1                    ;Em*;11 21 44.2124598984 +19 19 18.150520080;     ~   ;10.81    ;10.09    ;     ~   ;10.055438;G3                  
175;HD 98298                           ;** ;11 18 16.7735835432 -13 23 29.459266800;     ~   ;9.80     ;9.20     ;     ~   ;9.237309 ;G3V                 
176;HD 97838                           ;*  ;11 15 05.5819929432 -25 46 17.218077816;     ~   ;9.99     ;9.39     ;     ~   ;9.336091 ;F7V                 
177;HD 98048                           ;*  ;11 16 19.8024419496 -34 40 04.406027412;     ~   ;6.95     ;6.79     ;     ~   ;6.780349 ;A3V                 
178;HD 101589                          ;*  ;11 41 27.8665573056 +00 57 01.382008320;     ~   ;9.85     ;9.36     ;     ~   ;9.240565 ;F6V                 
179;HD 103550                          ;*  ;11 55 26.4117746568 -05 08 04.351532676;     ~   ;7.49     ;7.20     ;     ~   ;7.184301 ;kA6hA7mF2(III)EuSrBa
180;HD 102989                          ;*  ;11 51 20.9568983304 -09 58 36.682295916;     ~   ;8.63     ;8.32     ;     ~   ;8.247095 ;F0V                 
181;HD 105476                          ;PM*;12 08 37.9445754504 -05 50 34.532484936;     ~   ;10.37    ;9.80     ;     ~   ;9.632960 ;G2V                 
182;[M60b]+34 43                       ;*  ;12 16 17.9216034792 +33 30 13.552336404;     ~   ;12.02    ;11.13    ;     ~   ;10.942711;G6                  
183;BD+21 2406                         ;PM*;12 18 00.9758734896 +20 25 15.303476748;     ~   ;9.99     ;9.36     ;     ~   ;9.217613 ;G0                  
184;TYC 6693-371-1                     ;PM*;12 19 29.7815957568 -29 27 48.288096504;     ~   ;11.88    ;11.40    ;     ~   ;11.029133;~                   
185;GSC 07756-01136                    ;** ;12 12 46.5941286504 -38 35 00.523141584;     ~   ;11.88    ;11.13    ;10.98    ;10.933555;~                   
186;BD-12 3622                         ;*  ;12 22 32.9837614560 -13 11 37.919204160;     ~   ;11.657   ;10.953   ;     ~   ;10.770711;~                   
187;HD 108292                          ;PM*;12 26 42.7880497920 -27 29 55.372517772;     ~   ;10.453   ;9.922    ;9.51     ;9.738658 ;F8V                 
188;HD 109955                          ;*  ;12 38 42.9174442848 +08 46 09.687349776;     ~   ;10.17    ;9.59     ;     ~   ;9.425307 ;K0                  
189;HD 110098                          ;*  ;12 40 03.5384428344 -41 16 11.480654820;     ~   ;9.94     ;9.35     ;     ~   ;9.194060 ;G5V                 
190;HD 112038                          ;PM*;12 53 37.6851330989 -16 50 05.177643564;     ~   ;9.44     ;8.54     ;     ~   ;8.4366   ;G8IV                
191;TYC 886-577-1                      ;Em*;12 59 27.7740494376 +10 48 42.102672768;     ~   ;11.40    ;10.51    ;     ~   ;10.482555;F9                  
192;HD 115390                          ;*  ;13 17 07.0129768368 -17 54 09.173807640;     ~   ;9.889    ;9.42     ;     ~   ;9.266411 ;F5V                 
193;BD-18 3609                         ;PM*;13 28 25.0035307488 -19 14 27.356119836;     ~   ;10.483   ;9.86     ;     ~   ;9.709282 ;G0                  
194;HD 116930                          ;PM*;13 27 24.0454587816 -31 02 22.762140576;     ~   ;10.15    ;9.50     ;     ~   ;9.368840 ;G3V                 
195;BD-14 3809                         ;PM*;13 49 30.2255024256 -15 28 41.103021396;     ~   ;12.27    ;11.32    ;     ~   ;10.969293;~                   
196;HD 121322                          ;SB*;13 54 51.8358962448 -02 22 49.237548744;     ~   ;9.47     ;8.91     ;     ~   ;8.761349 ;F7/8V               
197;TYC 4976-843-1                     ;*  ;14 16 02.5426028304 -01 15 39.671312940;     ~   ;11.5     ;10.9     ;     ~   ;10.708588;~                   
198;BD+25 2817                         ;Em*;14 42 18.8623448376 +24 31 49.143920808;     ~   ;10.30    ;9.62     ;     ~   ;9.452208 ;G3                  
199;TYC 1477-736-1                     ;PM*;14 41 35.6864021328 +15 33 22.845738708;     ~   ;10.93    ;10.20    ;     ~   ;10.091292;~                   
200;TYC 329-407-1                      ;PM*;14 41 35.4899124144 +02 44 15.227981520;     ~   ;11.54    ;10.71    ;     ~   ;10.498390;~                   
201;BD-04 3727                         ;PM*;14 38 09.6344153496 -04 51 26.544408552;     ~   ;10.78    ;10.109   ;9.85     ;9.965935 ;~                   
202;TYC 6166-1378-1                    ;PM*;14 42 46.0223566704 -22 21 26.383295808;     ~   ;11.940   ;11.069   ;     ~   ;10.803997;~                   
203;HD 132075                          ;PM*;14 57 47.1688186128 -18 00 50.744877444;     ~   ;10.01    ;9.32     ;     ~   ;9.195271 ;G6V                 
204;HD 158057                          ;PM*;17 29 01.8438994248 -42 36 52.427416464;     ~   ;9.80     ;9.22     ;     ~   ;9.119931 ;G0/2V               
205;TYC 7898-1651-1                    ;*  ;17 56 02.8709724864 -43 41 59.571129912;     ~   ;11.34    ;10.72    ;     ~   ;10.495688;~                   
206;HD 169793                          ;*  ;18 28 32.7567679704 -44 09 59.095133496;     ~   ;9.89     ;9.41     ;     ~   ;9.242169 ;G2V                 
207;HD 170869                          ;PM*;18 33 26.7176267856 -39 29 13.924947336;     ~   ;9.37     ;8.76     ;     ~   ;8.602229 ;G3V                 
208;HD 319455                          ;PM*;17 08 46.9114155816 -35 49 42.715681428;     ~   ;10.72    ;10.17    ;     ~   ;9.982254 ;F8                  
209;TYC 6785-217-1                     ;*  ;15 38 56.8060670880 -27 32 45.950405064;     ~   ;11.77    ;11.03    ;     ~   ;10.843846;~                   
210;CD-30 17429                        ;PM*;19 52 18.4435012872 -29 43 12.789766740;     ~   ;9.98     ;9.23     ;     ~   ;9.076304 ;~                   
211;HD 189561                          ;RG*;20 01 23.8467090408 -22 44 14.312051448;     ~   ;6.982    ;5.999    ;     ~   ;5.752046 ;K0III               
212;HD 148623                          ;PM*;16 30 07.1554570800 -22 26 24.674548596;     ~   ;10.37    ;9.78     ;10.05    ;9.740319 ;F8V                 
213;BD-21 5449                         ;PM*;19 36 26.9295533256 -21 39 42.886787688;     ~   ;11.50    ;10.69    ;     ~   ;10.507235;~                   
214;HD 179856                          ;*  ;19 14 51.4017383808 -20 02 02.508162468;     ~   ;10.09    ;9.59     ;     ~   ;9.453059 ;G0V                 
215;HD 160746                          ;*  ;17 42 23.7185947392 -19 24 10.007376408;     ~   ;10.02    ;9.55     ;     ~   ;9.370054 ;F6/7V               
216;BD-19 4688B                        ;*  ;17 42 23.4704150448 -19 24 20.604180744;     ~   ;11.27    ;10.64    ;     ~   ;10.582985;~                   
217;BD-08 4465                         ;*  ;17 36 26.0295178344 -09 03 28.964744676;     ~   ;10.87    ;10.28    ;     ~   ;10.065650;~                   
218;HD 167219                          ;*  ;18 14 33.2533617480 -09 19 32.445988752;     ~   ;10.24    ;9.70     ;     ~   ;9.560516 ;F0V                 
219;TYC 5712-756-1                     ;PM*;19 14 59.9713908600 -10 14 20.696872416;     ~   ;11.15    ;10.52    ;     ~   ;10.363614;~                   
220;TYC 5067-1535-1                    ;*  ;17 25 40.7563493088 -01 15 53.662383684;     ~   ;11.14    ;10.49    ;     ~   ;10.170751;~                   
221;HD 180248                          ;*  ;19 15 55.5696596064 -01 43 55.554954132;     ~   ;9.38     ;8.91     ;     ~   ;8.807701 ;F2V                 
222;BD-01 4013                         ;SB*;20 37 06.7709315520 -01 01 12.264593592;     ~   ;10.56    ;9.78     ;     ~   ;9.630924 ;G5                  
223;TYC 353-292-1                      ;PM*;15 56 00.1868959680 +01 17 24.076817844;     ~   ;11.71    ;11.17    ;     ~   ;10.946996;~                   
224;HD 165887                          ;** ;18 08 07.2389644176 +02 13 07.192566300;     ~   ;6.78     ;6.62     ;     ~   ;6.611578 ;A2/3V               
225;HD 357896                          ;PM*;20 08 16.4815422312 +00 51 28.264738248;     ~   ;11.19    ;10.48    ;10.392   ;10.374859;F5                  
226;HD 197687                          ;*  ;20 45 12.2067055080 +01 19 24.113170056;     ~   ;9.58     ;9.13     ;     ~   ;9.027740 ;F5V                 
227;HD 137973                          ;PM*;15 29 01.1585879304 +04 46 54.818220180;     ~   ;10.38    ;9.77     ;     ~   ;9.600607 ;G5                  
228;BD+05 3748                         ;PM*;18 27 27.9018778056 +05 56 14.221351860;     ~   ;10.00    ;9.48     ;     ~   ;9.358295 ;F8                  
229;TYC 964-1287-1                     ;*  ;16 32 52.5490528536 +09 30 39.801028392;     ~   ;11.69    ;10.79    ;     ~   ;10.745924;~                   
230;TYC 962-2195-1                     ;PM*;16 49 17.5012946520 +09 11 00.330900504;     ~   ;10.98    ;10.45    ;     ~   ;10.220515;~                   
231;HD 186430                          ;PM*;19 43 57.9588225408 +09 35 24.854948268;     ~   ;10.44    ;9.88     ;     ~   ;9.691393 ;G5                  
232;HD 189354                          ;*  ;19 59 19.4934509256 +09 29 51.250697772;     ~   ;9.75     ;9.25     ;     ~   ;9.167568 ;F2                  
233;TYC 1551-1790-1                    ;PM*;17 36 40.8811494264 +15 51 15.548577516;     ~   ;11.99    ;11.29    ;     ~   ;11.071219;~                   
234;HD 154943                          ;Em*;17 07 58.0951779768 +17 51 15.916105476;     ~   ;9.67     ;9.19     ;     ~   ;9.088485 ;G5                  
235;TYC 1566-832-1                     ;*  ;18 06 12.4742595240 +21 49 42.864465540;     ~   ;12.05    ;11.14    ;     ~   ;10.967825;~                   
236;HD 348088                          ;PM*;18 13 06.9279547080 +20 19 34.339551744;     ~   ;9.55     ;8.91     ;     ~   ;8.792018 ;G0                  
237;TYC 2075-420-1                     ;PM*;17 27 00.5096522568 +23 47 31.098276672;     ~   ;12.20    ;11.27    ;     ~   ;11.016317;~                   
238;HD 341999                          ;PM*;18 21 55.6586360640 +23 58 40.408531392;     ~   ;11.68    ;10.94    ;10.71    ;10.793715;G5                  
239;HD 346517                          ;PM*;20 25 11.7064381656 +22 45 00.866012652;     ~   ;9.09     ;8.41     ;     ~   ;8.232965 ;G0                  
240;HD 159352                          ;*  ;17 33 03.1471264536 +28 45 43.839645552;     ~   ;8.41     ;8.07     ;     ~   ;8.008272 ;F0                  
241;BD+29 3102                         ;PM*;17 44 37.5934752288 +29 33 35.752032432;     ~   ;9.84     ;9.29     ;     ~   ;9.199576 ;F8                  
242;BD+31 3190                         ;PM*;18 09 32.2621786584 +31 38 08.853437688;     ~   ;10.23    ;9.65     ;     ~   ;9.528478 ;G0                  
243;BD+33 3054                         ;*  ;18 14 15.9083281752 +33 47 07.046066292;     ~   ;9.26     ;8.80     ;     ~   ;8.681615 ;F5                  
244;TYC 2661-1258-1                    ;*  ;19 20 34.5053473944 +34 52 35.345016156;     ~   ;11.8     ;11.1     ;     ~   ;11.356579;~                   
245;KOI-1119                           ;*  ;19 37 57.6260925456 +38 11 38.824065492;     ~   ;11.73    ;11.19    ;     ~   ;10.786407;~                   
246;TYC 3061-1481-1                    ;*  ;16 10 36.2937363384 +39 47 13.687359828;     ~   ;11.47    ;10.50    ;     ~   ;10.357034;~                   
247;TYC 3069-1389-1                    ;*  ;16 33 17.5043435352 +42 38 11.390492472;     ~   ;11.56    ;10.62    ;     ~   ;10.536870;~                   
248;HD 168850B                         ;*  ;18 19 42.5840980992 +44 53 26.148207984;     ~   ;12.11    ;11.17    ;     ~   ;11.204618;~                   
249;HD 44444                           ;*  ;06 19 18.5320099080 -48 24 32.179910328;     ~   ;8.32     ;7.94     ;     ~   ;7.883422 ;F3V                 
250;HD 28700                           ;PM*;04 29 20.0860415256 -46 30 54.973797084;     ~   ;7.197    ;6.117    ;     ~   ;5.854775 ;K1III               
251;CPD-54 866                         ;PM*;05 37 45.6301330056 -54 33 59.994663336;     ~   ;10.63    ;9.95     ;     ~   ;10.102425;G5V                 
252;CPD-53 684                         ;PM*;04 18 56.3807600472 -53 15 50.606759412;     ~   ;10.94    ;10.26    ;     ~   ;10.209525;~                   
253;HD 19013                           ;PM*;03 01 44.9240069496 -48 51 12.119474268;     ~   ;10.210   ;9.16     ;     ~   ;9.027405 ;G3V                 
254;HD 13444                           ;*  ;02 10 23.6882882160 -40 21 20.199357036;     ~   ;10.19    ;9.63     ;     ~   ;9.476144 ;G3V                 
255;HD 52624                           ;*  ;06 58 10.2933291504 -60 17 46.296108672;     ~   ;8.79     ;8.30     ;     ~   ;8.183724 ;F6V                 
256;HD 42838                           ;PM*;06 08 31.9716058920 -62 58 50.500114320;     ~   ;9.99     ;9.39     ;     ~   ;9.290607 ;G0V                 
257;HD 15637                           ;*  ;02 29 12.5233096272 -49 31 07.564150236;     ~   ;10.43    ;9.76     ;     ~   ;9.649086 ;G5V                 
258;HD 83465                           ;PM*;09 36 46.2894019536 -52 56 37.203846792;     ~   ;7.228    ;6.177    ;     ~   ;5.900820 ;K0III               
259;HD 269729                          ;PM*;05 32 33.6153084792 -67 05 18.744008136;     ~   ;10.16    ;9.69     ;     ~   ;9.517369 ;G0                  
260;CD-61 630                          ;*  ;03 25 59.1359752824 -60 45 44.769818124;     ~   ;10.44    ;9.86     ;9.5      ;9.738275 ;~                   
261;HD 16573                           ;PM*;02 37 19.8879060696 -55 29 11.109549048;     ~   ;9.88     ;9.20     ;     ~   ;9.022277 ;G2IV                
262;HD 16050                           ;PM*;02 31 47.1479830584 -63 58 44.835139452;     ~   ;10.13    ;9.57     ;     ~   ;9.523052 ;G0V                 
263;HD 11903                           ;PM*;01 55 13.7292705360 -58 21 02.034954972;     ~   ;8.86     ;8.39     ;     ~   ;8.306500 ;F5V                 
264;HD 311435                          ;PM*;08 51 03.7095848688 -71 12 07.351353288;     ~   ;10.69    ;9.97     ;     ~   ;9.848410 ;G5                  
265;HD 44981                           ;*  ;06 15 12.5521589544 -77 03 08.551148904;     ~   ;8.18     ;7.93     ;     ~   ;7.887843 ;A5/7V               
266;RX J0323.1-7418                    ;Er*;03 23 01.5958328016 -74 18 59.141490416;     ~   ;15.666   ;14.198   ;13.932   ;13.312025;~                   
267;CD-57 240                          ;PM*;01 14 19.4557761792 -56 47 56.545443744;     ~   ;11.51    ;10.96    ;     ~   ;10.612959;~                   
268;HD 6157                            ;*  ;01 02 04.4893786896 -47 23 26.459139480;     ~   ;10.114   ;9.61     ;     ~   ;9.480308 ;F7V                 
269;TYC 9143-577-1                     ;EB*;01 53 07.5118418856 -67 57 14.137442712;     ~   ;11.00    ;10.22    ;     ~   ;10.025380;~                   
270;HD 98194                           ;*  ;11 16 50.8854198312 -61 05 07.977162264;     ~   ;9.51     ;9.04     ;     ~   ;8.969329 ;F3/5V               
271;* z Car                            ;*  ;11 06 32.4264772704 -62 25 26.810615136;     ~   ;5.622    ;4.606    ;     ~   ;4.341425 ;G7.5III             
272;HD 2529                            ;PM*;00 28 43.1263371192 -50 31 58.285251732;     ~   ;7.360    ;6.265    ;     ~   ;5.970935 ;K0III               
273;HD 96934                           ;PM*;11 07 56.0332778592 -72 38 24.432492408;     ~   ;10.01    ;9.28     ;     ~   ;9.115562 ;G5IV                
274;TYC 9360-35-1                      ;*  ;01 28 43.2906688248 -81 38 26.343863628;     ~   ;11.23    ;10.50    ;     ~   ;10.423450;~                   
275;HD 308856                          ;*  ;11 40 01.6088212248 -61 37 30.096739452;     ~   ;10.28    ;9.74     ;     ~   ;9.567700 ;G0                  
276;CPD-75 776                         ;*  ;12 02 14.6322938184 -76 11 52.510255188;     ~   ;11.54    ;10.61    ;     ~   ;10.536969;~                   
277;HD 222679                          ;PM*;23 43 02.0448159000 -59 40 48.919560240;     ~   ;9.91     ;9.35     ;     ~   ;9.267216 ;F8V                 
278;HD 223763                          ;PM*;23 52 37.0051804248 -51 50 55.833522936;     ~   ;10.02    ;9.45     ;     ~   ;9.355204 ;G0/1V               
279;CPD-82 839                         ;*  ;21 04 07.2282655704 -82 11 09.608693820;     ~   ;11.78    ;11.10    ;10.68    ;10.849932;~                   
280;HD 205597                          ;*  ;21 40 33.6702691392 -72 27 45.588798072;     ~   ;9.77     ;9.21     ;     ~   ;9.099355 ;F8/G0V              
281;HD 213140                          ;PM*;22 31 23.6983033560 -67 27 31.741130844;     ~   ;10.520   ;10.018   ;     ~   ;9.545755 ;G3V                 
282;HD 146042                          ;*  ;16 22 22.4552071704 -76 28 33.722341284;     ~   ;9.63     ;9.02     ;     ~   ;8.871466 ;G0V                 
283;HD 207230                          ;PM*;21 50 47.2759808424 -69 26 12.222903948;     ~   ;9.80     ;9.24     ;     ~   ;9.194433 ;F8V                 
284;CPD-67 3827                        ;PM*;21 44 53.7306681792 -66 43 04.735859484;     ~   ;11.27    ;10.57    ;     ~   ;10.295306;~                   
285;TYC 8666-1270-1                    ;PM*;13 24 08.8732092672 -54 35 52.127985120;     ~   ;10.51    ;9.91     ;     ~   ;9.753069 ;~                   
286;HD 130938                          ;PM*;14 53 52.1370884472 -63 53 53.224763208;     ~   ;9.75     ;9.29     ;     ~   ;9.141986 ;F2/5III/IV          
287;HD 126181                          ;*  ;14 25 47.0723251968 -55 07 39.442940472;     ~   ;10.00    ;9.42     ;     ~   ;9.163157 ;F7V                 
288;HD 193906                          ;*  ;20 26 16.6596073032 -62 57 59.373609948;     ~   ;9.87     ;9.30     ;     ~   ;9.147728 ;F8V                 
289;TYC 9067-957-1                     ;PM*;18 09 09.1419334800 -66 41 30.523905816;     ~   ;11.09    ;10.56    ;     ~   ;10.296281;~                   
290;HD 172211                          ;*  ;18 43 37.3375808736 -64 33 05.130535788;     ~   ;6.732    ;5.757    ;     ~   ;5.518778 ;K0III               
291;TYC 9023-359-1                     ;SB*;15 59 28.6596835536 -60 03 01.395282276;     ~   ;11.55    ;10.82    ;     ~   ;10.548551;~                   
292;TYC 8780-1882-1                    ;PM*;20 12 33.9480312408 -55 26 59.925404616;     ~   ;11.06    ;10.28    ;     ~   ;10.127501;~                   
293;CD-56 6991                         ;PM*;17 43 08.6318498352 -56 23 27.054741696;     ~   ;11.39    ;10.77    ;     ~   ;10.726703;~                   
294;CPD-53 9759                        ;PM*;20 01 24.2730828768 -53 36 50.372078868;     ~   ;10.70    ;10.08    ;     ~   ;9.936503 ;~                   
295;HD 126543                          ;*  ;14 27 15.9019502232 -40 46 24.520000260;     ~   ;10.79    ;10.09    ;     ~   ;9.824078 ;G6V                 
296;CD-46 10643                        ;** ;16 19 48.2762344520 -47 13 26.204385008;     ~   ;10.23    ;9.61     ;     ~   ;9.673488 ;~                   
297;HD 192373                          ;PM*;20 16 13.8324765240 -42 38 39.183002520;     ~   ;10.02    ;9.29     ;     ~   ;9.152531 ;G6V                 
298;HD 195520                          ;PM*;20 33 25.3456850808 -41 21 10.121361480;     ~   ;9.53     ;9.05     ;     ~   ;8.967214 ;F5V                 
299;CD-38 10460                        ;TT*;15 34 07.3613530248 -39 16 17.212150200;12.01    ;11.58    ;10.546   ;10.30    ;10.594612;K1(e)               
300;CD-41 10273                        ;PM*;15 45 47.3043309264 -41 38 42.405995220;     ~   ;10.88    ;10.28    ;     ~   ;10.153785;G5                  
301;HD 329319                          ;PM*;17 03 43.8736218936 -44 10 36.400103940;     ~   ;10.60    ;9.90     ;     ~   ;9.787415 ;G5                  
302;TYC 2964-1089-1                    ;Em*;07 58 58.8569299512 +39 29 52.380850488;     ~   ;12.41    ;11.59    ;11.3     ;11.315213;K3                  
303;UCAC4 412-054240                   ;** ;12 51 54.5932419264 -07 43 03.268081992;     ~   ;15.617   ;14.171   ;13.701   ;13.724313;~                   
304;TYC 2342-537-1                     ;Em*;03 33 02.1278677464 +30 41 02.690494944;     ~   ;12.37    ;12.41    ;     ~   ;11.551230;K3                  
305;UCAC4 282-219731                   ;*  ;23 36 43.3460588544 -33 47 26.492490384;     ~   ;14.349   ;13.078   ;12.684   ;12.559234;~                   
306;TYC 230-1113-1                     ;Em*;09 14 09.7460963376 +03 14 37.483118880;     ~   ;12.74    ;11.58    ;     ~   ;11.426610;K3                  
307;TYC 297-420-1                      ;SB*;12 53 29.0469062016 +07 07 29.261717508;     ~   ;13.05    ;11.55    ;     ~   ;11.500944;~                   
308;GSC 00660-00224                    ;Em*;03 35 53.1908270496 +11 55 19.115835024;     ~   ;11.78    ;11.06    ;10.815   ;10.758776;G7                  
309;TYC 790-323-1                      ;*  ;07 42 19.2745852008 +14 50 57.229392048;     ~   ;11.93    ;11.29    ;     ~   ;11.041199;~                   
310;TYC 826-75-1                       ;PM*;09 24 19.3821158064 +14 53 43.617638580;     ~   ;12.12    ;11.13    ;     ~   ;11.124148;~                   
311;TYC 862-284-1                      ;PM*;11 31 52.4614801584 +13 59 50.906305104;     ~   ;12.35    ;11.60    ;     ~   ;11.101879;~                   
312;TYC 919-156-1                      ;PM*;15 07 04.0625625480 +08 48 21.267129780;     ~   ;11.48    ;10.91    ;     ~   ;10.551608;~                   
313;BD+20 1633B                        ;PM*;06 56 03.8600926080 +20 05 00.941355312;     ~   ;10.85    ;9.98     ;     ~   ;9.699492 ;~                   
314;TYC 1411-586-1                     ;*  ;09 47 23.8009911336 +16 41 43.453587768;     ~   ;11.86    ;11.22    ;     ~   ;10.945625;~                   
315;TYC 1476-694-1                     ;*  ;14 24 44.8165081344 +17 27 57.866263524;     ~   ;12.71    ;12.10    ;     ~   ;11.774913;~                   
316;TYC 1530-581-1                     ;PM*;16 59 56.4484751112 +18 53 48.071231124;     ~   ;12.40    ;11.21    ;     ~   ;11.214589;~                   
317;TYC 1585-597-1                     ;PM*;19 03 01.9565425656 +16 20 30.540695388;     ~   ;12.34    ;11.71    ;     ~   ;11.232981;~                   
318;TYC 1634-383-1                     ;PM*;20 42 06.9195874392 +16 50 38.735529972;     ~   ;12.21    ;12.246   ;     ~   ;11.819311;~                   
319;TYC 1729-234-1                     ;*  ;00 06 20.2423629960 +22 41 43.790873064;     ~   ;12.22    ;11.33    ;     ~   ;11.305223;~                   
320;TYC 1730-149-1                     ;Em*;00 20 28.1792310576 +24 26 32.625021228;     ~   ;12.56    ;11.86    ;     ~   ;11.508019;K0                  
321;TYC 1787-665-1                     ;PM*;03 07 01.2678480288 +26 11 21.501499668;     ~   ;12.06    ;11.45    ;     ~   ;11.166095;~                   
322;TYC 1925-1401-1                    ;*  ;07 49 01.1545508232 +23 14 38.548695588;     ~   ;12.67    ;11.79    ;     ~   ;11.696549;~                   
323;TYC 1954-1225-1                    ;*  ;09 15 47.2111901352 +25 09 30.088657548;     ~   ;12.86    ;11.49    ;     ~   ;11.737549;~                   
324;TYC 1983-2514-1                    ;Em*;11 14 25.3296617544 +27 46 06.284985600;     ~   ;12.993   ;11.960   ;11.714   ;11.667446;K3                  
325;TYC 2049-491-1                     ;SB*;16 43 06.5481811872 +25 25 47.573808924;     ~   ;12.74    ;11.70    ;     ~   ;11.450614;~                   
326;TYC 2081-1962-1                    ;SB*;17 44 35.9934119688 +24 27 48.404223396;     ~   ;12.19    ;11.45    ;     ~   ;11.223764;K1                  
327;TYC 2087-838-1                     ;*  ;17 27 42.1117587384 +28 30 57.488224860;     ~   ;13.53    ;11.59    ;     ~   ;11.546938;~                   
328;TYC 2088-1794-1                    ;Em*;17 41 42.3285590016 +28 31 37.444158372;     ~   ;12.40    ;11.64    ;     ~   ;11.238227;K0                  
329;TYC 2116-162-1                     ;*  ;18 44 19.8574686744 +28 01 42.323524536;     ~   ;13.05    ;11.95    ;     ~   ;11.882438;~                   
330;TYC 2150-1243-1                    ;*  ;19 32 29.6337794928 +29 08 28.839170724;     ~   ;12.63    ;12.32    ;     ~   ;11.681884;~                   
331;TYC 2265-823-1                     ;PM*;00 20 16.4511575400 +33 19 19.616821608;     ~   ;12.89    ;12.15    ;     ~   ;12.052083;~                   
332;TYC 2283-664-1                     ;Em*;00 38 16.2619711536 +34 45 03.412171476;     ~   ;12.53    ;11.18    ;     ~   ;11.065554;G9                  
333;TYC 2406-981-1                     ;*  ;05 59 07.2870032640 +30 54 46.755422280;     ~   ;12.57    ;11.80    ;     ~   ;11.317492;~                   
334;TYC 2422-47-1                      ;*  ;06 29 56.7129176928 +31 46 13.192660560;     ~   ;12.38    ;11.53    ;     ~   ;11.229320;~                   
335;TYC 2425-133-1                     ;*  ;06 24 53.7845263824 +32 21 25.250771520;     ~   ;12.54    ;11.73    ;     ~   ;11.598933;~                   
336;TYC 2589-463-1                     ;*  ;16 54 41.6752346160 +31 22 24.913541280;     ~   ;12.19    ;11.41    ;     ~   ;11.183455;G8                  
337;TYC 2752-1479-1                    ;*  ;23 19 30.8410303728 +31 50 20.858710056;     ~   ;12.64    ;11.44    ;     ~   ;11.100190;~                   
338;TYC 2789-1491-1                    ;PM*;00 00 32.9902754352 +41 38 20.277367836;     ~   ;12.59    ;11.59    ;     ~   ;11.463514;~                   
339;TYC 2813-1372-1                    ;*  ;01 28 11.9776774608 +38 21 02.196139104;     ~   ;12.26    ;11.52    ;     ~   ;11.196899;~                   
340;TYC 2946-338-1                     ;PM*;06 53 47.0327362056 +40 34 22.959973632;     ~   ;11.87    ;10.81    ;     ~   ;10.841341;G8V                 
341;TYC 3060-1411-1                    ;*  ;15 55 52.1940117408 +42 50 26.415760344;     ~   ;12.90    ;11.69    ;     ~   ;11.521865;~                   
342;TYC 3125-256-1                     ;Em*;19 19 45.9684342504 +39 51 26.446945212;     ~   ;11.57    ;10.78    ;     ~   ;10.778553;G5                  
343;TYC 3213-1644-1                    ;*  ;22 35 54.8659485960 +44 37 04.201034160;     ~   ;12.80    ;11.73    ;     ~   ;11.663463;~                   
344;TYC 3224-1624-1                    ;Em*;23 09 09.9448064184 +42 01 52.511520072;     ~   ;12.45    ;11.33    ;     ~   ;11.021647;K1                  
345;TYC 3337-144-1                     ;*  ;04 27 08.4578872368 +49 09 38.440429236;     ~   ;12.33    ;11.58    ;     ~   ;11.477276;~                   
346;TYC 3431-568-1                     ;PM*;09 20 00.7758331920 +52 09 49.396741128;     ~   ;12.92    ;12.14    ;     ~   ;11.231171;~                   
