C.D.S.  -  SIMBAD4 rel 1.8  -  2025.04.02CEST05:40:14

plx >8.49&plx< 8.51&Vmag< 20&Bmag< 20&maintypes='*'
---------------------------------------------------

Number of objects : 507

 # ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type     
---;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;--------------------
39 ;BD+78 360                          ;PM*;10 48 48.0635362320 +77 31 28.167607524;     ~   ;10.84    ;10.19    ;     ~   ;10.117295;G5                  
40 ;TYC 3788-109-1                     ;PM*;07 15 10.0831287816 +56 35 43.413792720;     ~   ;10.93    ;10.37    ;     ~   ;10.225844;~                   
41 ;TYC 4387-523-1                     ;*  ;10 26 20.4048073104 +72 16 33.175409916;     ~   ;10.07    ;9.45     ;     ~   ;9.359642 ;~                   
42 ;HD 82839                           ;*  ;09 38 17.0839395672 +70 15 57.995423496;     ~   ;7.37     ;6.98     ;     ~   ;6.888538 ;F2                  
43 ;BD+45 1381                         ;Em*;07 03 38.8945656264 +45 32 53.822349312;     ~   ;9.81     ;9.24     ;     ~   ;9.127194 ;F8                  
44 ;BD+67 857A                         ;*  ;14 55 39.0728299128 +66 48 46.730389572;     ~   ;11.36    ;10.52    ;     ~   ;10.378750;G                   
45 ;HD 70856                           ;PM*;08 27 25.6734198696 +59 24 06.988225320;     ~   ;9.20     ;8.58     ;     ~   ;8.454368 ;F8                  
46 ;TYC 3799-809-1                     ;Em*;08 11 01.6439146968 +56 07 14.860726932;     ~   ;11.95    ;11.14    ;     ~   ;10.833834;G7                  
47 ;BD+67 756                          ;** ;12 37 35.8658832504 +66 22 40.693221228;     ~   ;10.24    ;9.66     ;     ~   ;9.480497 ;G0                  
48 ;TYC 4136-945-1                     ;PM*;09 52 17.0880812040 +61 04 22.172403216;     ~   ;11.12    ;10.48    ;     ~   ;10.181827;~                   
49 ;HD 238396                          ;PM*;14 50 06.4728653400 +55 38 50.328023388;     ~   ;10.02    ;9.52     ;     ~   ;9.438496 ;F8                  
50 ;HD 138932                          ;*  ;15 33 32.1202876632 +42 59 22.100173620;     ~   ;9.18     ;8.72     ;     ~   ;8.646077 ;F5                  
51 ;TYC 3470-813-1                     ;PM*;13 48 37.2059876760 +51 42 40.210300620;     ~   ;10.60    ;9.87     ;     ~   ;9.796494 ;~                   
52 ;HD 114171                          ;*  ;13 08 07.5204265560 +53 33 38.057208696;8.550    ;8.600    ;8.260    ;     ~   ;8.182750 ;F5                  
53 ;SBSS 1029+537                      ;WD*;10 32 09.9865348944 +53 29 35.373072660;     ~   ;14.095   ;14.453   ;14.831   ;14.437898;DA1.1               
54 ;HD 87357                           ;*  ;10 05 47.1709209936 +50 55 10.628513940;     ~   ;8.33     ;7.83     ;     ~   ;7.725019 ;F5                  
55 ;TYC 3436-95-1                      ;*  ;09 58 56.2454137080 +49 49 16.273981992;     ~   ;11.69    ;10.95    ;     ~   ;10.854631;~                   
56 ;TYC 3426-250-1                     ;SB*;09 40 59.2566009960 +46 15 34.126626924;     ~   ;11.37    ;10.58    ;     ~   ;10.319536;~                   
57 ;HD 233903                          ;SB*;12 09 59.6905829616 +49 46 04.998992376;     ~   ;10.42    ;9.85     ;     ~   ;9.698773 ;G0                  
58 ;TYC 3451-786-1                     ;Em*;11 23 24.9981385056 +47 54 37.349282304;     ~   ;12.04    ;11.07    ;     ~   ;10.932776;G8                  
59 ;HD 20027                           ;PM*;03 12 37.5834856128 -15 58 53.183306424;     ~   ;9.11     ;8.66     ;     ~   ;8.556439 ;F3/5V               
60 ;HD 20519                           ;*  ;03 17 21.5472922776 -21 07 58.601518284;     ~   ;10.432   ;9.94     ;     ~   ;9.770662 ;G0V                 
61 ;HD 21867                           ;Em*;03 31 26.1662161608 -02 53 55.307835672;     ~   ;9.33     ;8.91     ;     ~   ;8.7888   ;F3V                 
62 ;* 20 Eri                           ;a2*;03 36 17.4041095200 -17 28 01.472307996;4.61     ;5.10     ;5.23     ;     ~   ;5.157641 ;B8/9III             
63 ;BD+10 475                          ;Em*;03 45 14.9274875208 +11 18 27.019588572;     ~   ;11.46    ;10.66    ;     ~   ;10.463049;F9                  
64 ;HD 281601                          ;*  ;04 06 31.4108790336 +29 21 38.677994172;     ~   ;11.44    ;10.84    ;     ~   ;10.624219;G0                  
65 ;HD 286401                          ;PM*;03 59 10.7900349648 +14 26 36.156296904;     ~   ;10.29    ;9.71     ;     ~   ;9.590741 ;G0                  
